provider_code,provider_name,mff_factor
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,1.017349
RGD,Leeds And York Partnership NHS Foundation Trust,1.032679
RY6,Leeds Community Healthcare NHS Trust,1.032342
RR8,Leeds Teaching Hospitals NHS Trust,1.029918
RT5,Leicestershire Partnership NHS Trust,1.029462
RJ2,Lewisham And Greenwich NHS Trust,1.14348
RY5,Lincolnshire Community Health Services NHS Trust,1.019209
RP7,Lincolnshire Partnership NHS Foundation Trust,1.012522
RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,1.022237
REM,Liverpool University Hospitals NHS Foundation Trust,1.021884
REP,Liverpool Women's NHS Foundation Trust,1.02162
RRU,London Ambulance Service NHS Trust,1.146714
R1K,London North West University Healthcare NHS Trust,1.130585
RWF,Maidstone And Tunbridge Wells NHS Trust,1.048456
R0A,Manchester University NHS Foundation Trust,1.037386
RPA,Medway NHS Foundation Trust,1.048003
RBN,Mersey & West Lancashire Teaching Hospitals NHS Trust,1.024267
RW4,Mersey Care NHS Foundation Trust,1.02353
RAJ,Mid and South Essex NHS Foundation Trust,1.057749
RBT,Mid Cheshire Hospitals NHS Foundation Trust,1.032496
RXF,Mid Yorkshire Teaching NHS Trust,1.025591
RRE,Midlands Partnership University NHS Foundation Trust,1.025385
RD8,Milton Keynes University Hospital NHS Foundation Trust,1.061482
RP6,Moorfields Eye Hospital NHS Foundation Trust,1.167386
RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,1.024803
RMY,Norfolk And Suffolk NHS Foundation Trust,1.022866
RY3,Norfolk Community Health And Care NHS Trust,1.021554
RVJ,North Bristol NHS Trust,1.055764
RNN,North Cumbria Integrated Care NHS Foundation Trust,1.022953
RX6,North East Ambulance Service NHS Foundation Trust,1.018087
RAT,North East London NHS Foundation Trust,1.123021
G6V2S,North London NHS Foundation Trust,1.146774
RLY,North Staffordshire Combined Healthcare NHS Trust,1.023218
RVW,North Tees And Hartlepool NHS Foundation Trust,1.004897
RX7,North West Ambulance Service NHS Trust,1.025838
RGN,North West Anglia NHS Foundation Trust,1.031088
RNS,Northampton General Hospital NHS Trust,1.042396
RP1,Northamptonshire Healthcare NHS Foundation Trust,1.040797
RM3,Northern Care Alliance NHS Foundation Trust,1.035021
RJL,Northern Lincolnshire And Goole NHS Foundation Trust,1.021585
RTF,Northumbria Healthcare NHS Foundation Trust,1.024302
RX1,Nottingham University Hospitals NHS Trust,1.029925
RHA,Nottinghamshire Healthcare NHS Foundation Trust,1.023582
RNU,Oxford Health NHS Foundation Trust,1.080651
RTH,Oxford University Hospitals NHS Foundation Trust,1.072536
RPG,Oxleas NHS Foundation Trust,1.141815
RT2,Pennine Care NHS Foundation Trust,1.035262
RHU,Portsmouth Hospitals University NHS Trust,1.039642
RPC,Queen Victoria Hospital NHS Foundation Trust,1.07534
RXE,Rotherham Doncaster And South Humber NHS Foundation Trust,1.013523
RHW,Royal Berkshire NHS Foundation Trust,1.100892
REF,Royal Cornwall Hospitals NHS Trust,1.027411
RH8,Royal Devon University Healthcare NHS Foundation Trust,1.015139
RAL,Royal Free London NHS Foundation Trust,1.14653
RAN,Royal National Orthopaedic Hospital NHS Trust,1.128059
RGM,Royal Papworth Hospital NHS Foundation Trust,1.080419
RA2,Royal Surrey County Hospital NHS Foundation Trust,1.08943
RD1,Royal United Hospitals Bath NHS Foundation Trust,1.040638
RNZ,Salisbury NHS Foundation Trust,1.021678
RXK,Sandwell And West Birmingham Hospitals NHS Trust,1.033789
RCU,Sheffield Children's NHS Foundation Trust,1.020012
TAH,Sheffield Health Partnership University NHS Foundation Trust,1.019513
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,1.019404
RK5,Sherwood Forest Hospitals NHS Foundation Trust,1.020439
R1D,Shropshire Community Health NHS Trust,1.019397
RH5,Somerset NHS Foundation Trust,1.023531
RYE,South Central Ambulance Service NHS Foundation Trust,1.064493
RYD,South East Coast Ambulance Service NHS Foundation Trust,1.057209
RV5,South London And Maudsley NHS Foundation Trust,1.144352
RTR,South Tees Hospitals NHS Foundation Trust,1.006981
R0B,South Tyneside And Sunderland NHS Foundation Trust,1.0125
RJC,South Warwickshire University NHS Foundation Trust,1.056233
RQY,South West London And St George's Mental Health NHS Trust,1.141737
RXG,South West Yorkshire Partnership NHS Foundation Trust,1.02277
RYF,South Western Ambulance Service NHS Foundation Trust,1.033867
RJ7,St George's University Hospitals NHS Foundation Trust,1.144487
RWJ,Stockport NHS Foundation Trust,1.035974
RXX,Surrey And Borders Partnership NHS Foundation Trust,1.10634
RTP,Surrey And Sussex Healthcare NHS Trust,1.098998
RDR,Sussex Community NHS Foundation Trust,1.051628
RX2,Sussex Partnership NHS Foundation Trust,1.037628
RMP,Tameside And Glossop Integrated Care NHS Foundation Trust,1.0358
RNK,Tavistock And Portman NHS Foundation Trust,1.160892
RX3,"Tees, Esk And Wear Valleys NHS Foundation Trust",1.012202
RBV,The Christie NHS Foundation Trust,1.037862
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,1.021751
RNA,The Dudley Group NHS Foundation Trust,1.020962
RAS,The Hillingdon Hospitals NHS Foundation Trust,1.114966
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,1.022017
RQW,The Princess Alexandra Hospital NHS Trust,1.097857
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1.008436
RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,1.03429
RFR,The Rotherham NHS Foundation Trust,1.016967
RPY,The Royal Marsden NHS Foundation Trust,1.144191
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,1.042052
RL4,The Royal Wolverhampton NHS Trust,1.012647
RXW,The Shrewsbury And Telford Hospital NHS Trust,1.016285
RET,The Walton Centre NHS Foundation Trust,1.02223
RA9,Torbay And South Devon NHS Foundation Trust,1.010414
RWD,United Lincolnshire Teaching Hospitals NHS Trust,1.010183
RRV,University College London Hospitals NHS Foundation Trust,1.175335
RHM,University Hospital Southampton NHS Foundation Trust,1.057586
RRK,University Hospitals Birmingham NHS Foundation Trust,1.041377
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,1.051658
RKB,University Hospitals Coventry And Warwickshire NHS Trust,1.048448
R0D,University Hospitals Dorset NHS Foundation Trust,1.031587
RTG,University Hospitals Of Derby And Burton NHS Foundation Trust,1.031786
RWE,University Hospitals Of Leicester NHS Trust,1.028343
RTX,University Hospitals Of Morecambe Bay NHS Foundation Trust,1.0203
RJE,University Hospitals Of North Midlands NHS Trust,1.025379
RK9,University Hospitals Plymouth NHS Trust,1.0
RYR,University Hospitals Sussex NHS Foundation Trust,1.03728
RBK,Walsall Healthcare NHS Trust,1.018104
RWW,Warrington And Halton Teaching Hospitals NHS Foundation Trust,1.031167
RWG,West Hertfordshire Teaching Hospitals NHS Trust,1.101885
RKL,West London NHS Trust,1.11646
RYA,West Midlands Ambulance Service University NHS Foundation Trust,1.02973
RGR,West Suffolk NHS Foundation Trust,1.028746
RKE,Whittington Health NHS Trust,1.148697
RY7,Wirral Community Health and Care NHS Foundation Trust,1.021722
RBL,Wirral University Teaching Hospital NHS Foundation Trust,1.021814
RWP,Worcestershire Acute Hospitals NHS Trust,1.028359
RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",1.030227
RLQ,Wye Valley NHS Trust,1.007486
RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,1.027929
RX8,Yorkshire Ambulance Service NHS Trust,1.02418
