pod_code,activity_type,service,service_grouping,is_patient_attributable,review_note
NCBPS01Y,Outpatient Follow-up,Outpatients,Planned,true,
NCBPS16Y,Outpatient Follow-up,Outpatients,Planned,true,
OPPROC,Outpatient Procedure,Outpatients,Planned,true,
OPPROCFA,Outpatient Procedure,Outpatients,Planned,true,
OPPROCFUP,Outpatient Procedure,Outpatients,Planned,true,
OPPROCF,Outpatient Procedure,Outpatients,Planned,true,
NF2FFA,Outpatient Non-Face-to-Face,Outpatients,Planned,true,
NF2FFUP,Outpatient Non-Face-to-Face,Outpatients,Planned,true,
NF2FFUPNCL,Outpatient Non-Face-to-Face,Outpatients,Planned,true,
NF2FPREOP,Outpatient Non-Face-to-Face,Outpatients,Planned,true,
NCBPS23A,Outpatient Non-Face-to-Face,Outpatients,Planned,true,
TELOPFA,Outpatient Non-Face-to-Face,Outpatients,Planned,true,
TELOPFUP,Outpatient Non-Face-to-Face,Outpatients,Planned,true,
PREOP,Outpatient,Outpatients,Planned,true,
OP,Outpatient,Outpatients,Planned,true,
AUDIO,Outpatient,Outpatients,Planned,true,
EYECAS,Outpatient,Outpatients,Planned,true,
PHYSIO,Outpatient,Outpatients,Planned,true,
THERAPIES,Outpatient,Outpatients,Planned,true,
MDT,Outpatient (MDT),Outpatients,Planned,true,
AANDG,Advice & Guidance,Outpatients,Planned,true,
ADVICEGUID,Advice & Guidance,Outpatients,Planned,true,
UNBRAD,Diagnostics,Diagnostics,Planned,true,
DALAB,Diagnostics,Diagnostics,Planned,true,
DAIMG,Diagnostics,Diagnostics,Planned,true,
DAOTHER,Diagnostics,Diagnostics,Planned,true,
DA,Diagnostics,Diagnostics,Planned,true,
DIRACC,Diagnostics,Diagnostics,Planned,true,
OPUNBRAD,Diagnostics,Diagnostics,Planned,true,
OPDIAG,Diagnostics,Diagnostics,Planned,true,
TEST,Diagnostics,Diagnostics,Planned,true,
SCREEN,Screening,Diagnostics,Planned,true,screening - Community/Diagnostics? Ru to confirm
BLOCK,High Cost Drugs,High-Cost Drugs & Devices,Planned,false,block contract - not patient-attributable
DRUG,High Cost Drugs,High-Cost Drugs & Devices,Planned,true,
DRUGS,High Cost Drugs,High-Cost Drugs & Devices,Planned,true,
POC,High Cost Drugs,High-Cost Drugs & Devices,Planned,true,
YOC,High Cost Drugs,High-Cost Drugs & Devices,Planned,true,programme drugs
DEVICE,Devices,High-Cost Drugs & Devices,Planned,true,
UNBCHEMO,Chemotherapy,High-Cost Drugs & Devices,Planned,true,
CHEMOOP,Chemotherapy,High-Cost Drugs & Devices,Planned,true,
CHEMOIP,Chemotherapy,High-Cost Drugs & Devices,Planned,true,
UNBCHEM,Chemotherapy,High-Cost Drugs & Devices,Planned,true,
NCBPS01C,Chemotherapy,High-Cost Drugs & Devices,Planned,true,
UNBRTHPY,Radiotherapy,High-Cost Drugs & Devices,Planned,true,
UNBRTHP,Radiotherapy,High-Cost Drugs & Devices,Planned,true,
UNBPALL,Palliative Care,High-Cost Drugs & Devices,Planned,true,palliative - Community? Ru to confirm grouping
UNBOTHER,Unbundled Other,High-Cost Drugs & Devices,Planned,true,
ARD,Renal Dialysis,Renal Dialysis,Planned,true,
IVF,Specialist,Other Planned,Planned,true,assisted conception
MAINT,Other,Other Planned,Planned,true,AQP maintenance - review
COMM,Community,Community Services,Community,true,
COMMSUB,Community,Community Services,Community,true,
COMMINIT,Community,Community Services,Community,true,
OTHER,Patient Transport,Patient Transport,Excluded,false,desc unreliable - likely transport/other; review
PTSTRANS,Patient Transport,Patient Transport,Excluded,false,
PTSTRAN,Patient Transport,Patient Transport,Excluded,false,
HTCS,Patient Transport,Patient Transport,Excluded,false,travel cost scheme
ADJUSTMENT,Adjustment,Contract Adjustment,Excluded,false,below-the-line contract adjustment
ADJUSTMEN,Adjustment,Contract Adjustment,Excluded,false,contract adjustment
ADJUSTM,Adjustment,Contract Adjustment,Excluded,false,contract adjustment
NAOTHER,Adjustment,Contract Adjustment,Excluded,false,bottom-line adjustment
CQUIN,CQUIN,Contract Adjustment,Excluded,false,
AAG,Non-Chargeable,Contract Adjustment,Excluded,false,
VV,Adjustment,Contract Adjustment,Excluded,false,value variable
PATIENT,Other,Unmapped,Unmapped,false,unclear code - review
LAC,Other,Unmapped,Unmapped,false,unclear code - review
CDC,Other,Unmapped,Unmapped,false,unclear code - review
CPC,Other,Unmapped,Unmapped,false,unclear code - review
DIVERTPATH,Other,Unmapped,Unmapped,false,unclear code - review
