CODE,GP_PRACTICE,LIST_SIZE,EXTRACT_DATE
F85039,RAINBOW PRACTICE,6053,01-Apr-21
F83039,The Rise Group Practice,4929,01-Apr-21
F85688,Rutland House Surgery,11127,01-Apr-21
F85640,Cheshire Road Surgery,6465,01-Apr-21
F83052,BROOKFIELD PARK SURGERY,3639,01-Apr-21
E83008,HEATHFIELDE MEDICAL CENTRE,8835,01-Apr-21
F85007,Lawrence House Surgery,17808,01-Apr-21
F85031,Westbury Medical Centre,10922,01-Apr-21
F83020,Adelaide Medical Centre,11923,01-Apr-21
F83012,Elizabeth Avenue Group Practice,7475,01-Apr-21
F83660,Highbury Grange Medical Practice,9386,01-Apr-21
F83032,St Peters Street Medical Practice,12005,01-Apr-21
F83011,Primrose Hill Surgery,7124,01-Apr-21
E83637,COLINDALE MEDICAL CENTRE LP,10089,01-Apr-21
E83018,WATLING MEDICAL CENTRE,16568,01-Apr-21
F85013,Tynemouth Medical Practice,8800,01-Apr-21
F85044,THE BOUNCES ROAD SURGERY,5754,01-Apr-21
F83010,Islington Central Medical Centre,20463,01-Apr-21
F83043,Ridgmount Practice,17634,01-Apr-21
F83056,THE MITCHISON ROAD SURGERY,6862,01-Apr-21
F83623,KEATS GROUP PRACTICE,13221,01-Apr-21
F83060,The Northern Medical Practice,8905,01-Apr-21
F83055,West Hampstead Medical Centre,18683,01-Apr-21
F83053,Mildmay Medical Practice,6282,01-Apr-21
Y01066,HANLEY PRIMARY CARE CENTRE,10123,01-Apr-21
F83018,PRINCE OF WALES MEDICAL CENTRE,9141,01-Apr-21
E83006,GREENFIELD MEDICAL CENTRE,7016,01-Apr-21
E83013,Cornwall House Surgery,5840,01-Apr-21
F83008,Goodinge Group Practice,11594,01-Apr-21
F83057,PARLIAMENT HILL MEDICAL CENTRE,7599,01-Apr-21
E83024,ST ANDREWS MEDICAL PRACTICE.,11224,01-Apr-21
F83006,Ampthill & Regents Park Practice,13655,01-Apr-21
F83015,St Johns Way Medical Centre,12128,01-Apr-21
F83678,Pine Street Medical Practice,2383,01-Apr-21
F83652,Amwell Group Practice,10180,01-Apr-21
F85033,Winchmore Hill Practice,22105,01-Apr-21
E83038,JAI MEDICAL CENTRE,8728,01-Apr-21
F83063,Killick Street Health Centre,12141,01-Apr-21
F83624,Clerkenwell Medical Practice,15039,01-Apr-21
F83061,Museum Practice,5134,01-Apr-21
F83058,HOLBORN MEDICAL CENTRE,11891,01-Apr-21
E83012,THE OLD COURT HOUSE SURGERY,8392,01-Apr-21
E83044,Addington Medical Centre,9422,01-Apr-21
F83615,CHOLMLEY GARDENS MEDICAL CENTRE,8011,01-Apr-21
F83002,The Group Practice at River Place,9972,01-Apr-21
E83007,Squires Lane Medical Practice,5665,01-Apr-21
F83673,The Medical Centre,5655,01-Apr-21
F83672,ST PHILIPS MEDICAL CENTRE,12427,01-Apr-21
F83064,CITY ROAD MEDICAL CENTRE,8207,01-Apr-21
F85004,EAGLE HOUSE SURGERY,13091,01-Apr-21
F83635,Kings Cross Surgery,7941,01-Apr-21
F83045,The Miller Practice,10263,01-Apr-21
F83680,Sobell Medical Centre,4257,01-Apr-21
F83005,Gower Street Practice,7507,01-Apr-21
F85676,BOUNDARY HOUSE SURGERY,5324,01-Apr-21
F83042,Gray's Inn Medical Group Chancery Lane,7083,01-Apr-21
E83046,Mulberry Medical Practice -Sefton Avenue,9544,01-Apr-21
E83041,DR. IJEOMA UKACHUKWU,4183,01-Apr-21
F83633,Gray's Inn Medical Group Hampstead,4129,01-Apr-21
E83045,FRIERN BARNET MEDICAL CENTRE,9551,01-Apr-21
F83683,SOMERS TOWN MEDICAL CENTRE,5390,01-Apr-21
E83668,DR SP TALPAHEWA,4310,01-Apr-21
F83044,THE BLOOMSBURY SURGERY,4317,01-Apr-21
F85615,Tottenham Health Centre,5471,01-Apr-21
F83033,Barnsbury Medical Practice,3508,01-Apr-21
F85705,JS Medical Practice,12564,01-Apr-21
F85682,CHALFONT SURGERY,8311,01-Apr-21
F85017,Charlton House Medical Centre,7092,01-Apr-21
F85025,WHITE LODGE MEDICAL PRACTICE,11432,01-Apr-21
F83664,The Village Practice,9401,01-Apr-21
F85030,Somerset Gardens Family Care Centre,13196,01-Apr-21
E83031,THE VILLAGE SURGERY,5238,01-Apr-21
E83003,OAKLEIGH ROAD HEALTH CENTRE,9166,01-Apr-21
F85623,Grove Road Surgery,4606,01-Apr-21
F83666,Andover Medical Centre,5906,01-Apr-21
F85634,EAST ENFIELD MEDICAL CENTRE,7578,01-Apr-21
F83632,QUEENS CRESCENT PRACTICE,6785,01-Apr-21
F83021,RITCHIE STREET GROUP PRACTICE,18559,01-Apr-21
F83007,ROMAN WAY MEDICAL CENTRE,3524,01-Apr-21
F83034,New North Health Centre,1605,01-Apr-21
F85046,Hornsey Wood Green GP,5816,01-Apr-21
E83021,Torrington Park Group Practice,12323,01-Apr-21
F83050,Gray's Inn Medical Group West Hampstead,2921,01-Apr-21
F85028,Bruce Grove Surgery 461 High Road,7678,01-Apr-21
F85071,Fernlea Surgery,10625,01-Apr-21
Y00057,ANGEL SURGERY,12564,01-Apr-21
F83048,Brunswick Medical Centre,6822,01-Apr-21
F85663,LATYMER ROAD SURGERY,4593,01-Apr-21
F85064,High Road Surgery (Stuart Crescent Health Centre),6357,01-Apr-21
E83653,THE PHOENIX PRACTICE,10368,01-Apr-21
F85687,Oakwood Medical Centre,7712,01-Apr-21
E83025,Pennine Drive Practice,8764,01-Apr-21
F85010,Keats Surgery,5099,01-Apr-21
E83017,Longrove Surgery,17392,01-Apr-21
E83027,The Practice @ 188,8609,01-Apr-21
F85678,The Town Surgery,4508,01-Apr-21
F83681,Partnership Primary Care Centre,9264,01-Apr-21
E83009,PHGH DOCTORS,11464,01-Apr-21
E83621,Brunswick Park Medical Practice,8576,01-Apr-21
F85700,ARNOS GROVE MEDICAL CENTR,7029,01-Apr-21
F85650,MORECAMBE SURGERY,5165,01-Apr-21
F85666,Edmonton Medical Centre,3732,01-Apr-21
F85032,Southgate Surgery,9973,01-Apr-21
E83053,LANE END MEDICAL GROUP,13396,01-Apr-21
F85061,Christchurch Hall Surgery,3427,01-Apr-21
F85642,The North London Health Centre,8827,01-Apr-21
F85035,Highlands Practice,11316,01-Apr-21
E83600,Adler JS-The Surgery,6399,01-Apr-21
F85020,The Woodberry Practice,9046,01-Apr-21
Y03664,Dr Azim & Partners,8910,01-Apr-21
F85029,ABERNETHY HOUSE SURGERY,12970,01-Apr-21
E83020,St. George's Medical Centre,11790,01-Apr-21
F85058,Nightingale House Surgery,6756,01-Apr-21
Y00612,Green Cedars Medical Centre,5957,01-Apr-21
F85065,Stuart Crescent Medical Practice,3151,01-Apr-21
F85016,Cockfosters Medical Ctre,6668,01-Apr-21
E83010,The Speedwell Practice,10968,01-Apr-21
F85008,The Staunton Group Practice,13159,01-Apr-21
F85019,The Morris House Group Practice,13190,01-Apr-21
F85023,Ordnance Unity Centre for Health,11064,01-Apr-21
Y03402,Evergreen Surgery (16434),19622,01-Apr-21
Y02986,CRICKLEWOOD GP HEALTH CENTRE,4781,01-Apr-21
Y05330,Welbourne Medical Practice,3312,01-Apr-21
Y02674,CAMDEN HEALTH IMPROVEMENT PRACTICE,487,01-Apr-21
Y03663,Hendon Way Surgery,8766,01-Apr-21
F85675,Alexandra Surgery (6341),5716,01-Apr-21
Y01655,The Vale Practice,10859,01-Apr-21
F85060,Havergal Surgery (15930),5948,01-Apr-21
F85697,The Old Surgery (15564),2133,01-Apr-21
F85669,West Green Surgery NHS GP,18163,01-Apr-21
Y02117,St Ann's Road Surgery,15019,01-Apr-21
F83686,Stroud Green Medical Clinic,6484,01-Apr-21
F85628,Welbourne GP Surgery,4862,01-Apr-21
F85067,The 157 Medical Practice,4597,01-Apr-21
Y00316,Woodlands Medical Practice,4478,01-Apr-21
F83022,CAVERSHAM GROUP PRACTICE,16110,01-Apr-21
F83674,Junction Medical Practice(Dr. Kateb & Dr.Hans),9707,01-Apr-21
