BOROUGH,CODE,GP_PRACTICE,LIST_SIZE,EXTRACT_DATE
Barnet,E83600,Adler JS-The Surgery,7907,02/06/2026
Barnet,E83613,EAST BARNET HEALTH CENTRE,11195,02/06/2026
Barnet,E83621,Brunswick Park Medical Practice,9345,02/06/2026
Barnet,E83622,Temple Fortune Medical Group,8941,02/06/2026
Barnet,E83637,COLINDALE MEDICAL CENTRE LP,12441,02/06/2026
Barnet,E83638,The Mountfield Surgery,5318,02/06/2026
Barnet,E83639,Rosemary Surgery,5921,02/06/2026
Barnet,E83649,THE HODFORD ROAD SURGERY,4380,02/06/2026
Barnet,E83653,THE PHOENIX PRACTICE,12023,02/06/2026
Barnet,E83668,DR SP TALPAHEWA,3954,02/06/2026
Barnet,Y00316,Woodlands Medical Practice,5961,02/06/2026
Barnet,Y02986,CRICKLEWOOD GP HEALTH CENTRE,5271,02/06/2026
Barnet,Y03663,Hendon Way Surgery,9308,02/06/2026
Barnet,Y03664,Dr Azim & Partners,7777,02/06/2026
Camden,F83003,Park End Surgery,7425,02/06/2026
Camden,F83005,Gower Street Practice,21127,02/06/2026
Camden,F83006,Ampthill & Regents Park Practice,15404,02/06/2026
Camden,F83011,Primrose Hill Surgery,9095,02/06/2026
Camden,F83017,HAMPSTEAD GROUP PRACTICE,17335,02/06/2026
Camden,F83018,PRINCE OF WALES MEDICAL CENTRE,7947,02/06/2026
Camden,F83019,The Abbey Medical Centre,13594,02/06/2026
Camden,F83020,Adelaide Medical Centre,11634,02/06/2026
Camden,F83022,CAVERSHAM GROUP PRACTICE,16735,02/06/2026
Camden,F83023,JAMES WIGG PRACTICE,25293,02/06/2026
Camden,F83042,Gray's Inn Medical Group Chancery Lane,8422,02/06/2026
Camden,F83043,Ridgmount Practice,16289,02/06/2026
Camden,F83044,THE BLOOMSBURY SURGERY,9031,02/06/2026
Camden,F83048,Brunswick Medical Centre,8926,02/06/2026
Camden,F83050,Gray's Inn Medical Group West Hampstead,3532,02/06/2026
Camden,F83052,BROOKFIELD PARK SURGERY,3951,02/06/2026
Camden,F83055,West Hampstead Medical Centre,22995,02/06/2026
Camden,F83057,PARLIAMENT HILL MEDICAL CENTRE,8324,02/06/2026
Camden,F83058,HOLBORN MEDICAL CENTRE,10250,02/06/2026
Camden,F83059,Brondesbury Medical Centre,22704,02/06/2026
Camden,F83061,Museum Practice,5513,02/06/2026
Camden,F83615,CHOLMLEY GARDENS MEDICAL CENTRE,7736,02/06/2026
Camden,F83623,KEATS GROUP PRACTICE,13013,02/06/2026
Camden,F83632,QUEENS CRESCENT PRACTICE,6430,02/06/2026
Camden,F83633,Gray's Inn Medical Group Hampstead,4925,02/06/2026
Camden,F83635,Kings Cross Surgery,7774,02/06/2026
Camden,F83658,BELSIZE PRIORY MEDICAL PRACTICE,6440,02/06/2026
Camden,F83665,Swiss Cottage Surgery,17082,02/06/2026
Camden,F83672,ST PHILIPS MEDICAL CENTRE,15383,02/06/2026
Camden,F83683,SOMERS TOWN MEDICAL CENTRE,5526,02/06/2026
Camden,Y02674,CAMDEN HEALTH IMPROVEMENT PRACTICE,479,02/06/2026
Enfield,F85002,Medicus Health Partners,93969,02/06/2026
Enfield,F85004,EAGLE HOUSE SURGERY,12401,02/06/2026
Enfield,F85010,Keats Surgery,4203,02/06/2026
Enfield,F85016,Cockfosters Medical Ctre,6836,02/06/2026
Enfield,F85020,The Woodberry Practice,10114,02/06/2026
Enfield,F85023,Ordnance Unity Centre for Health,12130,02/06/2026
Enfield,F85025,WHITE LODGE MEDICAL PRACTICE,15040,02/06/2026
Enfield,F85029,ABERNETHY HOUSE SURGERY,11803,02/06/2026
Enfield,F85032,Southgate Surgery,8844,02/06/2026
Enfield,F85033,Winchmore Hill Practice,20556,02/06/2026
Enfield,F85035,Highlands Practice,11680,02/06/2026
Enfield,F85039,RAINBOW PRACTICE,7089,02/06/2026
Enfield,F85044,THE BOUNCES ROAD SURGERY,6974,02/06/2026
Enfield,F85058,Nightingale House Surgery,5957,02/06/2026
Enfield,F85072,GROVELANDS MEDICAL CENTRE,9181,02/06/2026
Enfield,F85625,BINCOTE SURGERY,6881,02/06/2026
Enfield,F85634,EAST ENFIELD MEDICAL CENTRE,9399,02/06/2026
Enfield,F85642,The North London Health Centre,8841,02/06/2026
Enfield,F85650,MORECAMBE SURGERY,5936,02/06/2026
Enfield,F85663,LATYMER ROAD SURGERY,4738,02/06/2026
Enfield,F85666,Edmonton Medical Centre,4004,02/06/2026
Enfield,F85676,BOUNDARY HOUSE SURGERY,5711,02/06/2026
Enfield,F85678,The Town Surgery,4097,02/06/2026
Enfield,F85682,CHALFONT SURGERY,6099,02/06/2026
Enfield,F85687,Oakwood Medical Centre,8565,02/06/2026
Enfield,F85700,ARNOS GROVE MEDICAL CENTR,8588,02/06/2026
Enfield,F85701,GILLAN HOUSE SURGERY,12280,02/06/2026
Enfield,Y00057,ANGEL SURGERY,15591,02/06/2026
Enfield,Y00612,Green Cedars Medical Centre,4533,02/06/2026
Enfield,Y03402,Evergreen Surgery (16434),18109,02/06/2026
Haringey,F85007,Lawrence House Surgery,15904,02/06/2026
Haringey,F85008,The Staunton Group Practice,11135,02/06/2026
Haringey,F85013,Tynemouth Medical Practice,8860,02/06/2026
Haringey,F85014,Highgate Group Practice,16127,02/06/2026
Haringey,F85017,Charlton House Medical Centre,6303,02/06/2026
Haringey,F85019,The Morris House Group Practice,14845,02/06/2026
Haringey,F85028,Bruce Grove Surgery 461 High Road,6740,02/06/2026
Haringey,F85030,Somerset Gardens Family Care Centre,12678,02/06/2026
Haringey,F85031,Westbury Medical Centre,12236,02/06/2026
Haringey,F85034,Arcadian Gardens Surgery,8896,02/06/2026
Haringey,F85046,Hornsey Wood Green GP,10393,02/06/2026
Haringey,F85060,Havergal Surgery (15930),5136,02/06/2026
Haringey,F85061,Christchurch Hall Surgery,2773,02/06/2026
Haringey,F85063,THE MUSWELL HILL PRACTICE,17687,02/06/2026
Haringey,F85064,High Road Surgery (Stuart Crescent Health Centre),7718,02/06/2026
Haringey,F85065,Stuart Crescent Medical Practice,3318,02/06/2026
Haringey,F85066,Bounds Green Group Practice,18486,02/06/2026
Haringey,F85067,The 157 Medical Practice,4165,02/06/2026
Haringey,F85069,The Crouch Hall Road Surgery,9180,02/06/2026
Haringey,F85071,Fernlea Surgery,12066,02/06/2026
Haringey,F85615,Tottenham Health Centre,5732,02/06/2026
Haringey,F85623,Grove Road Surgery,4620,02/06/2026
Haringey,F85628,Welbourne GP Surgery,10122,02/06/2026
Haringey,F85640,Cheshire Road Surgery,6407,02/06/2026
Haringey,F85669,West Green Surgery NHS GP,23364,02/06/2026
Haringey,F85675,Alexandra Surgery (6341),5741,02/06/2026
Haringey,F85688,Rutland House Surgery,10597,02/06/2026
Haringey,F85697,The Old Surgery (15564),1659,02/06/2026
Haringey,F85705,JS Medical Practice,13612,02/06/2026
Haringey,Y01655,The Vale Practice,9681,02/06/2026
Haringey,Y02117,St Ann's Road Surgery,13631,02/06/2026
Haringey,Y03035,QUEENSWOOD MEDICAL PRACTICE,21605,02/06/2026
Haringey,Y03135,Bridge House Healthcare Centre,9159,02/06/2026
Haringey,Y05330,Welbourne Medical Practice,4814,02/06/2026
Islington,F83002,The Group Practice at River Place,10916,02/06/2026
Islington,F83004,Virtually @ Archway Medical Centre,31649,02/06/2026
Islington,F83008,Goodinge Group Practice,12841,02/06/2026
Islington,F83010,Islington Central Medical Centre,25802,02/06/2026
Islington,F83012,Elizabeth Avenue Group Practice,7248,02/06/2026
Islington,F83015,St Johns Way Medical Centre,13059,02/06/2026
Islington,F83021,RITCHIE STREET GROUP PRACTICE,15733,02/06/2026
Islington,F83032,St Peters Street Medical Practice,11646,02/06/2026
Islington,F83033,Barnsbury Medical Practice,6739,02/06/2026
Islington,F83034,New North Health Centre,1572,02/06/2026
Islington,F83039,The Rise Group Practice,4764,02/06/2026
Islington,F83045,The Miller Practice,9059,02/06/2026
Islington,F83053,Mildmay Medical Practice,7888,02/06/2026
Islington,F83056,THE MITCHISON ROAD SURGERY,9251,02/06/2026
Islington,F83060,The Northern Medical Practice,7036,02/06/2026
Islington,F83063,Killick Street Health Centre,13657,02/06/2026
Islington,F83064,CITY ROAD MEDICAL CENTRE,9211,02/06/2026
Islington,F83624,Clerkenwell Medical Practice,16587,02/06/2026
Islington,F83652,Amwell Group Practice,11235,02/06/2026
Islington,F83660,Highbury Grange Medical Practice,8885,02/06/2026
Islington,F83664,The Village Practice,13312,02/06/2026
Islington,F83666,Andover Medical Centre,6772,02/06/2026
Islington,F83671,THE BEAUMONT PRACTICE,3155,02/06/2026
Islington,F83673,The Medical Centre,6174,02/06/2026
Islington,F83674,Junction Medical Practice(Dr. Kateb & Dr.Hans),8826,02/06/2026
Islington,F83678,Pine Street Medical Practice,2079,02/06/2026
Islington,F83680,Sobell Medical Centre,4687,02/06/2026
Islington,F83681,Partnership Primary Care Centre,8437,02/06/2026
Islington,F83686,Stroud Green Medical Clinic,10669,02/06/2026
Islington,Y01066,HANLEY PRIMARY CARE CENTRE,8290,02/06/2026
